"forage","forage","ouvrages permettant de capter les eaux souterraines"
"prise_eau","prise d'eau","prise d'eau, puits artésien, ou captant"
"puits","puits","Cavité circulaire, profonde et étroite, à parois maçonnées, pratiquée dans le sol pour atteindre une nappe d'eau souterraine."
