"en_service","en service","en service"
"en_arret","en arrêt","en arrêt de service momentanée"
"abandon","abandon","en arrêt définitif de service (abandonnée)"
"en_projet","en projet","prévu à terme"
"en_construction","en construction","en cours de construction ou en attente de fin de chantier"
"comble","comblé","réseau ou ouvrage abandonné et rempli de materiau"
"depose","déposé","retiré du sol ou de surface"
