aep_contenu_canalisation
aep_etat_ouverture
aep_fonction_branchement
aep_fonction_canalisation
aep_fonction_point_mesure
aep_fonction_pompage
aep_fonction_traitement
aep_fonction_vanne
aep_installation_pompage
aep_sens_fermeture
aep_type_appareillage
aep_type_captage
aep_type_consigne
aep_type_desinfection
aep_type_piece
aep_type_point_livraison
aep_type_point_mesure
aep_type_pression
aep_type_raccord
aep_type_regulation
aep_type_reservoir
aep_type_ressource
aep_type_usager
aep_type_vanne
ass_code_sandre
ass_fonction_bassin
ass_fonction_canalisation
ass_fonction_equipement
ass_fonction_pompage
ass_position
ass_structure_bassin
ass_techno_traitement
ass_type_bassin
ass_type_chambre
ass_type_descente
ass_type_engouffrement
ass_type_equipement
ass_destination
ass_type_ouvrage_special
ass_type_piece
ass_type_point_collecte
ass_type_point_mesure
ass_type_point_prelevement
ass_type_pompage
ass_type_pretraitement
ass_type_raccord
ass_type_regard
ass_type_usager
com_etat_service
com_forme
com_materiau
com_mode_circulation
com_mode_lever
com_oui_non
com_precision
com_qualite_annee
com_raison_pose
com_reference_z
com_revetement_interieur
com_type_acces
com_type_affleurant
com_type_dimension
com_type_perimetre
com_type_pluviometre
com_type_pose
com_type_protection
com_type_reseau
