"cloture","clôturé","périmètre clôturée (clôture, barrière, mur, muret...) délimitant un site"
"enceinte","enceinte","périmètre clos mais pas par une clôture"
"administrative","administrative","périmètre déterminé par acte administratif : acte de vente, parcelle, convention…"
"non_renseigne","non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
