"ouverte","ouverte","vanne totalement ouverte"
"fermee","fermée","vanne totalement fermée"
"partiel_ouverte","partiellement ouverte","vanne ouverte entre 50 et 100 % de son ouverture"
"partiel_fermee","partiellement fermée","vanne ouverte entre 0 et 50 % de son ouverture"
"non_renseigne","non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
